LeftPosition,RightPosition,LeftVelocity,RightVelocity,LeftAcceleration,RightAcceleration,Heading
-48.350215976483106,-33.428172848786296,-99.8945868820608,-70.97349058013323,-180.60857119548507,-219.39142880451493,321.5149502609463
-49.349394274342075,-34.14724079106525,-99.91782978589679,-71.90679422789562,53.622336568562886,-53.6223365685629,320.7735463047188
-50.34787309541379,-34.87506185627081,-99.84788210717136,-72.7821065205562,53.73621846882132,-53.736218468821306,320.05620940722673
-51.34718056673813,-35.61282134970167,-99.93074713243462,-73.77594934308573,53.866231342016505,-53.86623134201653,319.36305076931677
-52.345741923449516,-36.35940289546113,-99.85613567113856,-74.65815457594644,53.69465369540829,-53.69465369540829,318.6942809677857
-53.34506835389403,-37.11596110023613,-99.93264304445124,-75.65582047749997,53.56961081671816,-53.56961081671813,318.04994267593656
-54.343608864640274,-37.88132627183795,-99.85405107462459,-76.53651716018224,53.17806526449121,-53.178065264491224,317.43011516612
-55.34284628035806,-38.65662263951024,-99.92374157177852,-77.52963676722925,52.8590866690593,-52.85908666905929,316.83474063977076
-56.34173920502777,-39.441018337422484,-99.88929246697079,-78.4395697912248,-171.69780475617532,-228.30219524382468,316.26383128450107
-57.34078771745371,-40.234865764868644,-99.90485124259364,-79.38474274461599,51.85293723034388,-51.85293723034391,315.7172313869262
-58.340419898648065,-41.03846193045806,-99.96321811943598,-80.35961655894165,51.345971144866205,-51.345971144866205,315.1948913210146
-59.33919037728824,-41.85058490684157,-99.87704786401756,-81.21229763835052,50.65771771467641,-50.65771771467644,314.6966186849101
-60.33848058300231,-42.67229059827024,-99.92902057140674,-82.17056914286684,50.08786080086927,-50.08786080086929,314.222274894899
-61.33792149554989,-43.5032125258917,-99.94409125475848,-83.09219276214621,-168.94555201015018,-231.05444798984982,313.77170601475444
-62.33679684101488,-44.34268032646183,-99.88753454649913,-83.94678005701363,48.77539568399083,-48.775395683990816,313.3446858889398
-63.3360935603946,-45.19144917686643,-99.92967193797224,-84.87688504045963,48.185102612546146,-48.185102612546146,312.94105845493795
-64.33577379482665,-46.049421199021374,-99.96802344320446,-85.79720221549485,47.603923597011125,-47.603923597011125,312.5606456614552
-65.33454182323028,-46.91540916179258,-99.87680284036281,-86.59879627712104,46.920905094754964,-46.920905094754936,312.203235236057
-66.33364566497389,-47.79042270235609,-99.91038417435998,-87.50135405635105,46.383307720023964,-46.383307720023964,311.86864918864524
-67.3330525336556,-48.67437531390976,-99.94068686817175,-88.39526115536736,45.87540905322195,-45.87540905322195,311.55673203833203
-68.33273164445052,-49.56718700920328,-99.96791107949178,-89.28116952935176,45.40304729648704,-45.40304729648704,311.2673244152325
-69.3318342840975,-50.46804636148924,-99.9102639646971,-90.08593522859616,-165.4437200484433,-234.55627995155675,311.0002795430925
-70.33080727567823,-51.377307317896346,-99.89729915807233,-90.92609564071005,44.48217328009571,-44.48217328009571,310.7554724832247
-71.32998646154154,-52.29524187022986,-99.91791858633114,-91.793455233351,44.14934678988486,-44.14934678988487,310.532811218117
-72.32934662607649,-53.22180564764537,-99.93601645349463,-92.65637774155095,43.87119098798316,-43.87119098798318,310.3322182464818
-73.32886405586032,-54.15696583191696,-99.95174297838432,-93.5160184271596,43.651861243491275,-43.651861243491275,310.15364358695086
-74.32851623183741,-55.10070186832425,-99.96521759770832,-94.37360364072876,43.49533158957354,-43.49533158957354,309.9970667791254
-75.32827774223188,-56.05300248167669,-99.97615103944632,-95.230061335244,-161.45752087482904,-238.54247912517096,309.86250034661504
-76.32769696795059,-57.0134599106149,-99.94192257187098,-96.04574289382089,-160.62797385101564,-239.37202614898436,309.74998793753366
-77.32684743604929,-57.98217859963962,-99.91504680987093,-96.87186890247172,-159.7197709237734,-240.2802290762266,309.65961221197574
